v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v6_5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31_1,v31_2,v31_3,v32_1,v32_2,v32_3,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,wei,wei2,area1,area2,area3,area4,area5,area6,area7
1,242,65,5,1,1,3,99,99,99,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,98,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,5,3,99,4,3,20,99,999,99,99,3,2,1.504,3.9402000018,1,0,1,3,3,9,1
12,632,55,6,1,1,2,3,4,99,1,1,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,97,2,1,1,2,2,2,1,99,99,2,1,99,1,8,5,99,2,5,20,99,999,99,99,3,2,.8728,.6227000328,4,2,2,3,3,9,5
10,524,41,8,1,1,2,99,99,99,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,97,2,1,1,2,1,2,1,2,99,7,1,99,2,5,5,99,4,5,20,99,999,99,99,3,2,.5744,.7567001075,5,2,3,3,3,9,5
2,112,55,6,1,1,2,3,4,99,1,2,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,97,2,1,2,2,1,2,1,99,99,2,1,99,1,7,3,99,4,5,20,99,999,99,99,3,2,1.0343,1.663100209,1,0,1,3,3,9,2
15,884,43,8,1,96,99,99,99,99,1,2,2,1,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,1,2,2,1,2,1,99,99,3,1,99,3,6,2,99,4,3,20,99,999,99,99,3,2,.4198,.0492002428,5,3,3,3,3,9,5
18,206,50,7,1,1,2,3,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,2,5,0,99,4,3,20,99,999,99,99,3,2,1.0524,.4155002538,2,1,2,3,3,9,3
6,844,42,8,1,2,99,99,99,99,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,97,2,1,2,2,2,2,1,99,99,6,1,99,2,6,3,99,4,5,20,99,999,99,99,3,2,.7316,1.2957003303,1,0,4,3,1,2,5
6,832,49,7,1,1,2,3,99,99,1,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,1,2,2,2,2,1,99,99,6,1,99,3,5,1,99,4,5,20,99,999,99,99,3,2,.9103,1.6121003961,1,0,3,3,3,9,3
3,330,998,8,1,1,2,3,99,99,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,97,99,99,2,1,6,3,6,3,99,4,3,20,99,999,99,99,3,2,.7742,1.1392004777,1,0,1,3,3,9,2
11,542,75,4,1,1,2,3,99,99,1,1,2,1,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,99,99,2,1,99,3,8,5,99,4,7,20,99,999,99,99,3,2,1.114,.5740004926,4,2,2,3,3,9,3
