v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v7,v8_1,v8_2,v8_3,v8_4,v8_5,v8_6,v9,v10,v11,v12_1,v12_2,v13_1,v13_2,v13_3,v14_1,v14_2,v14_3,v14_4,v14_5,v15,v16,v17,v18_1,v18_2,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,wei
1,220,48,8,1,4,99,99,99,1,4,99,99,99,99,99,7,10,7,2,99,3,99,99,1,3,99,99,99,1,98,1,1,99,10,2,5,7,98,8,9,8,8,8,8,7,8,4,7,2,.680277
10,508,54,6,1,4,99,99,99,1,1,4,96,99,99,99,8,9,9,1,2,1,2,99,1,3,5,99,99,1,2,2,99,99,999,2,3,2,3,2,7,5,5,8,8,5,8,4,5,1,1.109658
19,316,998,5,1,1,99,99,99,1,4,3,2,99,99,99,9,9,9,1,2,97,99,99,1,2,3,99,99,1,1,2,99,99,999,2,2,8,6,5,7,6,9,5,6,8,9,4,8,1,.863941
12,632,94,2,1,4,99,99,99,1,4,1,2,99,99,99,7,10,10,1,2,3,99,99,1,3,99,99,99,1,2,2,99,99,999,2,8,10,7,7,7,7,8,7,7,6,7,4,7,2,1.306968
10,505,81,4,1,1,4,99,99,1,3,4,96,99,99,99,6,5,6,1,2,3,99,99,1,2,3,99,99,1,1,1,2,99,50,2,4,7,7,5,5,5,2,5,5,5,8,2,5,1,1.131172
3,324,998,5,1,1,3,4,99,1,1,2,3,4,99,99,5,6,8,1,2,2,99,99,1,99,99,99,99,1,98,2,99,99,999,2,6,8,8,6,6,7,7,8,8,8,7,4,7,2,1.102188
5,725,44,8,2,99,99,99,99,1,4,99,99,99,99,99,0,6,0,2,99,97,99,99,1,3,99,99,99,1,1,2,99,99,999,2,8,7,98,7,7,8,8,9,7,7,8,4,5,1,.763543
6,813,44,8,2,99,99,99,99,1,4,99,99,99,99,99,0,5,7,2,99,97,99,99,1,3,99,99,99,1,2,2,99,99,999,2,2,6,6,5,8,98,7,8,6,98,8,4,7,2,.733364
10,503,80,4,1,1,4,99,99,1,1,4,99,99,99,99,8,6,8,1,2,3,99,99,1,3,99,99,99,1,1,1,2,99,3,2,5,8,8,5,5,6,8,9,6,8,6,4,7,2,1.202785
1,242,75,4,1,1,2,4,99,1,4,2,99,99,99,99,9,5,9,1,2,3,99,99,1,3,99,99,99,1,1,2,99,99,999,2,9,10,10,9,9,9,10,10,9,9,10,4,6,1,.984658
